v1,v2
Normal,Send his resume to Karen Buckley. I believe there will be a full round of interviews for the trading track in May.
Normal,"Larry, Jacques has been working with Claudia. I will check his progress this morning and let you know. Phillip"
Normal,keith holst sent you an email with the details.
Normal,"Andrea, After reviewing Bryan Hull's resume, I think he would be best suited for the trading track program. Please forward his resume to Karen Buckley. Phillip"
Normal,The topic will the the western natural gas market. I may have overhead slides. I will bring handouts.
Normal,The topic will the the western natural gas market. I may have overhead slides. I will bring handouts.
Normal,The topic will the the western natural gas market. I may have overhead slides. I will bring handouts.
Normal,I would like to have a copy of the appraisal. See you Monday at 2. Phillip
Normal,please remove my name and information from the registered user list. Do not sell my information. Phillip Allen
Normal,cannot open this file. Please send in different format
Normal,I can't open a winmail.dat file. can you send in a different format
Normal,"Jacques, Here is Larry Lewter's response to my request for more documentation to support the $15,000. As you will read below, it is no longer an issue. I think that was the last issue to resolve. Phillip ---------------------- Forwarded by Phillip K Allen/HOU/ECT on 03/19/2001 11:45 AM --------------------------- ""Larry Lewter"" <llewter@austin.rr.com> on 03/19/2001 09:10:33 AM To: <Phillip.K.Allen@enron.com> cc: Subject: RE: Buyout Phillip, the title company held the $15,000 in escrow and it has been returned. It is no longer and issue. Larry -----Original Message----- From: Phillip.K.Allen@enron.com Sent: Monday, March 19, 2001 8:45 AM To: llewter@austin.rr.com Subject: Re: Buyout Larrry, I realize you are disappointed about the project. It is not my desire for you to be left with out of pocket expenses. The only item from your list that I need further clarification is the $15,000 worth of extensions. You mentioned that this was applied to the cost of the land and it actually represents your cash investment in the land. I agree that you should be refunded any cash investment. My only request is that you help me locate this amount on the closing statement or on some other document. Phillip"
Normal,"Phillip, Barry had said that you were asking about getting a pivot table for the WSCC new generation data. I have set one up in the attached file. Please let me know if you want to go through it. Also, please let me know if there are any discrepencies with the information you have. Phil"
Normal,"In regards to your E-mail, I have recently been informed by Nicole that she will be leaving Enron effective April 30. This is unfortunate because she has been a very valuable member of our team over the last few years and has been instrumental in developing the Eastern Rockies trading business and providing our customers with excellent service. Nicole is not leaving to go to a competitor, but is going to spend more time with her family. Given this fact, you probably want to speed up the transition. Call me and we can discuss. Mark Jay Reitmeyer@ECT 03/16/2001 09:04 AM To: Paul T Lucci/NA/Enron@Enron, Mark Whitt/NA/Enron@Enron, Nicole Cortez/NA/Enron@Enron, Theresa Staab/Corp/Enron@ENRON, Mike Grigsby/HOU/ECT@ECT, Phillip K Allen/HOU/ECT@ECT cc: Susan M Scott/HOU/ECT@ECT Subject: Denver trading I would like to welcome Susan Scott to the West Desk and specifically to the Eastern Rockies trading region. The plan is for Susan to work with me in moving the day trading activities from the Denver office to Houston. Her specific goals will be to take over activities performed by Nicole and Theresa while generating EOL products with me and in my absence. Susan is currently learning how to use EOL and Sitara. She is also working on understanding the grid and the relationship between all the different trading points from Opal to the mid-continent. My plan is to have Susan go to the Denver office during May bid-week (April 22 - April 24). I want her to be sitting with Nicole and Theresa during bid-week to see and learn everything they do during that time. I will probably want Nicole and Theresa to come to Houston one more time to sit with us and the logistics team, maybe in early May. Then, Susan and I will both go to Denver in late May or early June to meet industry people and to complete the transfer of operations to the Houston office. We can finalize these plans early next week and make all the corresponding reservations. Thank you, Jay"
Normal,"Ina, Can you help me approve this request? Phillip ---------------------- Forwarded by Phillip K Allen/HOU/ECT on 03/19/2001 09:53 AM --------------------------- ARSystem <ARSystem@mailman.enron.com> on 03/16/2001 05:15:12 PM To: ""phillip.k.allen@enron.com"" <phillip.k.allen@enron.com> cc: Subject: Your Approval is Overdue: Access Request for mike.grigsby@enron.com This request has been pending your approval for 9 days. Please click Approval to review and act upon this request. Request ID : 000000000021442 Request Create Date : 3/2/01 8:27:00 AM Requested For : mike.grigsby@enron.com Resource Name : Market Data Bloomberg Resource Type : Applications"
Normal,"Jacques, Still trying to close the loop on the $15,000 of extensions. Assuming that it is worked out today or tomorrow, I would like to get whatever documents need to be completed to convey the partnership done. I need to work with the engineer and architect to get things moving. I am planning on writing a personal check to the engineer while I am setting up new accounts. Let me know if there is a reason I should not do this. Thanks for all your help so far. Between your connections and expertise in structuring the loan, you saved us from getting into a bad deal. Phillip"
Normal,"Larrry, I realize you are disappointed about the project. It is not my desire for you to be left with out of pocket expenses. The only item from your list that I need further clarification is the $15,000 worth of extensions. You mentioned that this was applied to the cost of the land and it actually represents your cash investment in the land. I agree that you should be refunded any cash investment. My only request is that you help me locate this amount on the closing statement or on some other document. Phillip"
Normal,"Daryl, Here is the file that includes the proforma, unit costs, and comps. This file was prepared by the builder/developer. The architect that has begun to work on the project is Kipp Flores. They are in Austin. Thank you for your time this evening. Your comments were very helpful. I appreciate you and Greg taking a look at this project. Phillip Allen pallen@enron.com 713-853-7041"
Normal,"Al, I was not going to do the MS this year. Thanks for the offer though. All is well here. We went to Colorado last week and the kids learned to ski. Work is same as always. How are things going at New Power? Is there any potential? Phillip"
Normal,"John, Did you put Frank Hayden up to this? If this decision is up to me I would= =20 consider authorizing Mike G., Frank E., Keith H. and myself to trade west= =20 power. What do you think? Phillip ---------------------- Forwarded by Phillip K Allen/HOU/ECT on 03/06/2001= =20 10:48 AM --------------------------- From: Frank Hayden/ENRON@enronXgate on 03/05/2001 09:27 AM CST To: Phillip K Allen/HOU/ECT@ECT cc: =20 Subject: FW: Cross Commodity -----Original Message----- From: Hayden, Frank =20 Sent: Friday, March 02, 2001 7:01 PM To: Presto, Kevin; Zufferli, John; McKay, Jonathan; Belden, Tim; Shively,= =20 Hunter; Neal, Scott; Martin, Thomas; Allen, Phillip; Arnold, John Subject: Cross Commodity Importance: High I=01,ve been asked to provide an updated list on who is authorized to cross= =20 trade what commodities/products. As soon as possible, please reply to this= =20 email with the names of only the authorized =01&cross commodity=018 traders= and=20 their respective commodities. (natural gas, crude, heat, gasoline, weather,= =20 precip, coal, power, forex (list currency), etc..) Thanks, Frank PS. Traders limited to one commodity do not need to be included on this lis= t."
Normal,"George, I am back in the office and ready to focus on the project. I still have the concerns that I had last week. Specifically that the costs of our project are too high. I have gathered more information that support my concerns. Based on my research, I believe the project should cost around $10.5 million. The components are as follows: Unit Cost, Site work, & builders profit($52/sf) $7.6 million Land 1.15 Interim Financing .85 Common Areas .80 Total $10.4 Since Reagan's last 12 units are selling for around $190,000, I am unable to get comfortable building a larger project at over $95,000/unit in costs. Also, the comps used in the appraisal from Austin appear to be class A properties. It seems unlikely that student housing in San Marcos can produce the same rent or sales price. There should adjustments for location and the seasonal nature of student rental property. I recognize that Sagewood is currently performing at occupancy and $/foot rental rates that are closer to the appraisal and your pro formas, however, we do not believe that the market will sustain these levels on a permanent basis. Supply will inevitablely increase to drive this market more in balance. After the real estate expert from Houston reviewed the proforma and cost estimates, his comments were that the appraisal is overly optimistic. He feels that the permanent financing would potentially be around $9.8 million. We would not even be able to cover the interim financing. Keith and I have reviewed the project thoroughly and are in agreement that we cannot proceed with total cost estimates significantly above $10.5 million. We would like to have a conference call Tuesday afternoon to discuss alternatives. Phillip"
Normal,"George, I am back in the office and ready to focus on the project. I still have the concerns that I had last week. Specifically that the costs of our project are too high. I have gathered more information that support my concerns. Based on my research, I believe the project should cost around $10.5 million. The components are as follows: Unit Cost, Site work, & builders profit($52/sf) $7.6 million Land 1.15 Interim Financing .85 Common Areas .80 Total $10.4 Since Reagan's last 12 units are selling for around $190,000, I am unable to get comfortable building a larger project at over $95,000/unit in costs. Also, the comps used in the appraisal from Austin appear to be class A properties. It seems unlikely that student housing in San Marcos can produce the same rent or sales price. There should adjustments for location and the seasonal nature of student rental property. I recognize that Sagewood is currently performing at occupancy and $/foot rental rates that are closer to the appraisal and your pro formas, however, we do not believe that the market will sustain these levels on a permanent basis. Supply will inevitablely increase to drive this market more in balance. After the real estate expert from Houston reviewed the proforma and cost estimates, his comments were that the appraisal is overly optimistic. He feels that the permanent financing would potentially be around $9.8 million. We would not even be able to cover the interim financing. Keith and I have reviewed the project thoroughly and are in agreement that we cannot proceed with total cost estimates significantly above $10.5 million. We would like to have a conference call tomorrow to discuss alternatives. Phillip"
Normal,"Andrew, Here is an asset statement. I will mail my 98 & 99 Tax returns plus a 2000 W2. Is this sufficient? Phillip Allen 713-853-7041 wk 713-463-8626 home"
Normal,"Lee, Can you provide me with a copy of the original loan and a copy of the original appraisal. My fax number is 713-646-2391 Mailing address: 8855 Merlin Ct, Houston, TX 77055 Thank you, Phillip Allen"
Normal,"Jeff, Here is the application from SPB. I guess they want to use the same form as a new loan application. I have a call in to Lee O'Donnell to try to find out if there is a shorter form. What do I need to be providing to the buyer according to the contract. I was planning on bringing a copy of the survey and a rentroll including deposits on Monday. Please let me know this morning what else I should be putting together. Phillip ---------------------- Forwarded by Phillip K Allen/HOU/ECT on 02/16/2001 08:47 AM --------------------------- ""O'Donnell, Lee (SPB)"" <LODonnell@spbank.com> on 02/15/2001 05:36:08 PM To: ""'Phillip.K.Allen@enron.com'"" <Phillip.K.Allen@enron.com> cc: Subject: RE: I was told that you were faxed the loan application. I will send attachment for a backup. Also, you will need to provide a current rent roll and 1999 & 2000 operating history (income & expense). Call me if you need some help. Thanks Lee O'Donnell -----Original Message----- From: Phillip.K.Allen@enron.com Sent: Thursday, February 15, 2001 11:34 AM To: lodonnell@spbank.com Subject: Lee, My fax number is 713-646-2391. Please fax me a loan application that I can pass on to the buyer. Phillip Allen pallen@enron.com 713-853-7041 - Copy of Loan App.tif - Copy of Multifamily forms"
Normal,Forward Reg Dickson's resume to Ted Bland for consideration for the trading track program. He is overqualified and I'm sure too expensive to fill the scheduling position I have available. I will work with Cournie Parker to evaluate the other resumes. Phillip
Normal,"Lucy, Thanks for clearing up the 2/2 file. Moving on to 2/9, here are some questions: #1 It looks like he just missed 1/26&2/9 of $110. I can't tell if he still owes $47 on his deposit. #13 I show she missed rent on 1/26 and still owes $140. #15 Try and follow up with Tomas about the $95. Hopefully, he won't have a bad reaction. #20b Missed rent? #26 Has she paid any deposit or rent? #27 Missed rent?"
Normal,"Lee, My fax number is 713-646-2391. Please fax me a loan application that I can pass on to the buyer. Phillip Allen pallen@enron.com 713-853-7041"
