Text,Class_Label
"Let me know when you get the quotes from Pauline. I am expecting to pay something in the $3,000 to $5,000 range. I would like to see the quotes and a description of the work to be done. It is my understanding that some rock will be removed and replaced with siding. If they are getting quotes to put up new rock then we will need to clarify. Jacques is ready to drop in a dollar amount on the release. If the negotiations stall, it seems like I need to go ahead and cut off the utilities. Hopefully things will go smoothly. Phillip",Normal
---------------------- Forwarded by Phillip K Allen/HOU/ECT on 04/24/2001 02:23 PM --------------------------- Eric Benson@ENRON on 04/24/2001 11:47:40 AM To: Phillip K Allen/HOU/ECT@ECT cc: Subject: Instructions for FERC Meetings Mr. Allen - Per our phon,Normal
"Steve, Please remove Bob Shiring and Liz Rivera from rc #768. Thank you Phillip Allen",Normal
"Go ahead and order the ac for #27. Can you email or fax a summary of all rents collected from August through December. I need this to finish my tax return. I have all the expense data but not rent collection. Fax number is 713-646-3239. Thank you, Phillip",Normal
Anymore details? Is the offer above or below 675? What else do you have in a clean 11cap in a good location with room to expand?,Normal
"$100 for the yard seems like enough for up to 12.5 hours. How long did it take him? I think $100 should be enough. Use Page Setup under the File menu to change from Portrait to Landscape if you want to change from printing vertically to printing horizontally. Also try selecting Fit to one page if you want your print out to be on only one page. Use Print preview to see what your print out will look like before you print. The truck might need new sparkplugs at around 120,000-125,000 miles. A valve adjustment might do some good. It has idled very high for the last 25,000 miles, but it has never broken down. Glad to hear about the good deposit for this week. Great job on February. Phillip",Normal
The file is updated and renamed as Gas Basis Mar 00.,Normal
"---------------------- Forwarded by Phillip K Allen/HOU/ECT on 03/03/2000 12:30 PM --------------------------- Tim Heizenrader 03/03/2000 07:25 AM To: James B Fallon/HOU/ECT@ECT, Phillip K Allen/HOU/ECT@ECT cc: Subject: Western Strategy Summaries Slides f",Normal
It is ok to let the deposit rollover on #13 if there is no interruption in rent.,Normal
"---------------------- Forwarded by Phillip K Allen/HOU/ECT on 03/03/2000 08:36 AM --------------------------- ""the shockwave.com team"" on 03/03/2000 12:29:38 AM Please respond to To: pallen@enron.com cc: Subject: Just Released! Exclusive new animation fr",Normal
"Imelda, Please switch my sitara access from central to west and email me with my password. thank you, Phillip",Normal
Try again. The attachment was not attached.,Normal
"Frank, The implied risk created by the san juan and rockies indeces being partially set after today is the same as the risk in a long futures position. Whatever the risk was prior should not matter. Since the rest of the books are very short price this should be a large offset. If the VAR calculation does not match the company's true risk then it needs to be revised or adjusted. Phillip",Normal
"Mary, I transferred $10,000 out of the checking account on Monday 2/28/00. I will call you Monday or Tuesday to see what is new. Phillip",Normal
"Jeff, Let's just close on March 1. Phillip",Normal
"---------------------- Forwarded by Phillip K Allen/HOU/ECT on 02/21/2000= =20 08:06 AM --------------------------- =20 =09 =09 =09From: Jennifer Fraser 02/19/2000 01:57 PM =09 To: Stephanie Miller/Corp/Enron@ENRON, Julie A Gomez/HOU/ECT@ECT, Phillip K= =",Normal
"tara, I received your email about setting up Paul Lucci and Niccole Cortez with executable id's. The rights you set up are fine. Thank you for your help. Phillip",Normal
"mary, Are you sure you did the attachment right. There was no file attached to your message. Please try again. Phillip",Normal
"Mary, I got your email. Go ahead and get a carpet shampooer. Make sure it comes back clean after each use. (Wade and the tenants.) As far as W-2. I looked up the rules for withholding and social security. I will call you later today to discuss. Phillip",Normal
